mac_address,device,identifier,bluetooth_id
00:00:01:00:80:16,008016,<16800001 0000>,200
00:00:08:00:00:03,800003,<03000008 0000>,200
00:00:08:00:00:0F,80000F,<0f000008 0000>,200
00:00:08:00:00:01,800001,<01000008 0000>,200
00:00:08:00:00:02,800002,<02000008 0000>,200
00:00:08:00:00:04,800004,<04000008 0000>,200
00:00:08:00:00:05,800005,<05000008 0000>,200
00:00:08:00:00:06,800006,<06000008 0000>,200
00:00:08:00:00:07,800007,<07000008 0000>,200
00:00:08:00:00:08,800008,<08000008 0000>,200
00:00:08:00:00:09,800009,<09000008 0000>,200
00:00:08:00:00:10,800010,<10000008 0000>,200
00:00:08:00:00:11,800011,<11000008 0000>,200
00:00:08:00:00:12,800012,<12000008 0000>,200
00:00:08:00:00:13,800013,<13000008 0000>,200
00:00:08:00:00:14,800014,<14000008 0000>,200
00:00:08:00:00:15,800015,<15000008 0000>,200
00:00:08:00:00:0A,80000A,<0a000008 0000>,200
00:00:08:00:00:0B,80000B,<0b000008 0000>,200
00:00:08:00:00:0C,80000C,<0c000008 0000>,200
00:00:08:00:00:0D,80000D,<0d000008 0000>,200
00:00:08:00:00:0E,80000E,<0e000008 0000>,200
00:00:08:00:00:64,8000064,<64000008 0000>,200
00:00:08:00:00:65,8000065,<65000008 0000>,200
00:00:08:00:00:66,8000066,<66000008 0000>,200
00:00:08:00:00:67,8000067,<67000008 0000>,200
00:00:08:00:00:68,8000068,<68000008 0000>,200
00:00:08:00:00:69,8000069,<69000008 0000>,200
00:00:08:00:00:6A,800006A,<6a000008 0000>,200
00:00:08:00:00:6B,800006B,<6b000008 0000>,200
00:00:08:00:00:6C,800006C,<6c000008 0000>,200
00:00:08:00:00:6D,800006D,<6d000008 0000>,200
00:00:08:00:00:6E,800006E,<6e000008 0000>,200
00:00:08:00:00:6F,800006F,<6f000008 0000>,200
00:00:08:00:00:70,8000070,<70000008 0000>,200
00:00:08:00:00:71,8000071,<71000008 0000>,200
00:00:08:00:00:72,8000072,<72000008 0000>,200
00:00:08:00:00:73,8000073,<73000008 0000>,200
00:00:08:00:00:74,8000074,<74000008 0000>,200
00:00:08:00:00:75,8000075,<75000008 0000>,200
00:00:08:00:00:76,8000076,<76000008 0000>,200
00:00:08:00:00:77,8000077,<77000008 0000>,200
00:00:08:00:00:78,8000078,<78000008 0000>,200
00:00:08:00:00:79,8000079,<79000008 0000>,200
00:00:08:00:00:7A,800007A,<7a000008 0000>,200
00:00:08:00:00:7B,800007B,<7b000008 0000>,200
00:00:08:00:00:7C,800007C,<7c000008 0000>,200
00:00:08:00:00:7D,800007D,<7d000008 0000>,200
00:00:08:00:00:7E,800007E,<7e000008 0000>,200
00:00:08:00:00:7F,800007F,<7f000008 0000>,200
00:00:08:00:00:80,8000080,<80000008 0000>,200
00:00:08:00:00:81,8000081,<81000008 0000>,200
00:00:08:00:00:82,8000082,<82000008 0000>,200
00:00:08:00:00:83,8000083,<83000008 0000>,200
00:00:08:00:00:84,8000084,<84000008 0000>,200
00:00:08:00:00:85,8000085,<85000008 0000>,200
00:00:08:00:00:86,8000086,<86000008 0000>,200
00:00:08:00:00:87,8000087,<87000008 0000>,200
00:00:08:00:00:88,8000088,<88000008 0000>,200
00:00:08:00:00:89,8000089,<89000008 0000>,200
00:00:08:00:00:8A,800008A,<8a000008 0000>,200
00:00:08:00:00:8B,800008B,<8b000008 0000>,200
00:00:08:00:00:8C,800008C,<8c000008 0000>,200
00:00:08:00:00:8D,800008D,<8d000008 0000>,200
00:00:08:00:00:8E,800008E,<8e000008 0000>,200
00:00:08:00:00:8F,800008F,<8f000008 0000>,200
00:00:08:00:00:90,8000090,<90000008 0000>,200
00:00:08:00:00:91,8000091,<91000008 0000>,200
00:00:08:00:00:92,8000092,<92000008 0000>,200
00:00:08:00:00:93,8000093,<93000008 0000>,200
00:00:08:00:00:94,8000094,<94000008 0000>,200
00:00:08:00:00:95,8000095,<95000008 0000>,200
00:00:08:00:00:96,8000096,<96000008 0000>,200
00:00:08:00:00:97,8000097,<97000008 0000>,200
00:00:08:00:00:98,8000098,<98000008 0000>,200
00:00:08:00:00:99,8000099,<99000008 0000>,200
00:00:08:00:00:9A,800009A,<9a000008 0000>,200
00:00:08:00:00:9B,800009B,<9b000008 0000>,200
00:00:08:00:00:9C,800009C,<9c000008 0000>,200
00:00:08:00:00:9D,800009D,<9d000008 0000>,200
00:00:08:00:00:9E,800009E,<9e000008 0000>,200
00:00:08:00:00:9F,800009F,<9f000008 0000>,200
00:00:08:00:00:A0,80000A0,<a0000008 0000>,200
00:00:08:00:00:A1,80000A1,<a1000008 0000>,200
00:00:08:00:00:A2,80000A2,<a2000008 0000>,200
00:00:08:00:00:A3,80000A3,<a3000008 0000>,200
00:00:08:00:00:A4,80000A4,<a4000008 0000>,200
00:00:08:00:00:A5,80000A5,<a5000008 0000>,200
00:00:08:00:00:A6,80000A6,<a6000008 0000>,200
00:00:08:00:00:A7,80000A7,<a7000008 0000>,200
