bluetooth_id,mac_address,identifier,device
200,00:00:01:00:80:16,<16800001 0000>,008016
200,00:00:08:00:00:03,<03000008 0000>,800003
200,00:00:08:00:00:0F,<0f000008 0000>,80000F
200,00:00:08:00:00:01,<01000008 0000>,800001
200,00:00:08:00:00:02,<02000008 0000>,800002
200,00:00:08:00:00:04,<04000008 0000>,800004
200,00:00:08:00:00:05,<05000008 0000>,800005
200,00:00:08:00:00:06,<06000008 0000>,800006
200,00:00:08:00:00:07,<07000008 0000>,800007
200,00:00:08:00:00:08,<08000008 0000>,800008
200,00:00:08:00:00:09,<09000008 0000>,800009
200,00:00:08:00:00:10,<10000008 0000>,800010
200,00:00:08:00:00:11,<11000008 0000>,800011
200,00:00:08:00:00:12,<12000008 0000>,800012
200,00:00:08:00:00:13,<13000008 0000>,800013
200,00:00:08:00:00:14,<14000008 0000>,800014
200,00:00:08:00:00:15,<15000008 0000>,800015
200,00:00:08:00:00:0A,<0a000008 0000>,80000A
200,00:00:08:00:00:0B,<0b000008 0000>,80000B
200,00:00:08:00:00:0C,<0c000008 0000>,80000C
200,00:00:08:00:00:0D,<0d000008 0000>,80000D
200,00:00:08:00:00:0E,<0e000008 0000>,80000E
200,00:00:08:00:00:64,<64000008 0000>,8000064
200,00:00:08:00:00:65,<65000008 0000>,8000065
200,00:00:08:00:00:66,<66000008 0000>,8000066
200,00:00:08:00:00:67,<67000008 0000>,8000067
200,00:00:08:00:00:68,<68000008 0000>,8000068
200,00:00:08:00:00:69,<69000008 0000>,8000069
200,00:00:08:00:00:6A,<6a000008 0000>,800006A
200,00:00:08:00:00:6B,<6b000008 0000>,800006B
200,00:00:08:00:00:6C,<6c000008 0000>,800006C
200,00:00:08:00:00:6D,<6d000008 0000>,800006D
200,00:00:08:00:00:6E,<6e000008 0000>,800006E
200,00:00:08:00:00:6F,<6f000008 0000>,800006F
200,00:00:08:00:00:70,<70000008 0000>,8000070
200,00:00:08:00:00:71,<71000008 0000>,8000071
200,00:00:08:00:00:72,<72000008 0000>,8000072
200,00:00:08:00:00:73,<73000008 0000>,8000073
